,index,id,attach_dist,is_attached,is_contained,is_matched,match_ids,match_overlaps,pred_num_pix,pred_sum_pix,true_num_pix,true_sum_pix,ke,true_ke
0,0,17,1.873870617011172,True,True,True,[39 20],[0.6904762  0.00178571],31,21.03077,40,623.7489624023438,25.991928,37.46818214932636
1,0,42,0.7650146484375,True,True,True,[50 12],[0.91525424 0.01869159],57,37.652763,56,589.65625,46.535053,35.056940321404035
2,0,49,1.0818617225085447,True,False,True,[45 17],[0.42857143 0.02247191],5,4.0265017,-1,-1.0,4.9763536,-1.0
3,0,51,0.7649993896484375,True,True,True,[64],[0.8135593],50,23.771938,57,560.9762573242188,29.37974,42.91413617136126
4,0,53,0.764984130859375,True,True,True,[55  6],[0.8125     0.00990099],31,15.437214,27,284.424072265625,19.078854,26.85661681550674
5,1,14,1.0818617225085447,True,True,True,[41 21],[0.94285715 0.004     ],35,20.490435,33,406.5850524902344,25.32413,46.493665346975206
6,1,28,0.7650146484375,True,False,True,[37 24],[0.84444445 0.0106383 ],44,34.55802,39,507.12994384765625,42.71026,34.88154436206216
7,2,24,1.0818293538903043,True,True,True,[49 18],[0.73333335 0.02970297],14,17.66911,12,170.03665161132812,21.837254,22.618913331827557
8,2,27,1.3249913823352457,True,True,True,[44 28],[0.7708333  0.01298701],46,47.34357,39,712.5077514648438,58.51192,52.222656642274885
9,2,31,0.764984130859375,True,True,True,[43 29],[0.8214286  0.00700935],56,44.195618,46,666.8198852539062,54.621365,50.734375685785345
10,2,34,1.3250442396281927,True,True,True,[58],[0.85714287],25,22.089869,27,421.9170227050781,27.300869,51.05412801467175
11,3,5,1.081872512263171,True,False,True,[33],[0.88095236],40,31.792435,39,565.1236572265625,39.29227,47.28900090351576
12,3,7,1.3250178108059933,True,True,True,[35  7],[0.9148936  0.00161031],45,25.74371,45,478.8227844238281,31.816652,39.919866641827106
13,3,9,1.5300140380859375,True,True,True,[32 10],[0.81578946 0.00522193],37,23.369497,32,344.4869689941406,28.882362,26.840673692958536
14,3,11,0.7649993896484375,True,False,True,[36  6],[0.76       0.01714286],25,24.181095,19,226.64559936523438,29.885416,24.665853609285605
15,4,27,1.081872512263171,True,True,True,[61  5],[0.8269231 0.0075188],52,42.564095,43,617.3408813476562,52.604965,41.521122746987274
16,4,37,0.76495361328125,True,True,True,[32 26],[0.51428574 0.01201201],35,27.063608,18,229.38787841796875,33.447914,58.964442986563434
17,4,41,0.764984130859375,True,False,True,[39 19],[0.8148148  0.00833333],25,21.767193,24,347.3924560546875,26.902075,41.770676036593194
18,5,20,2.4191597809580574,False,True,True,[41],[0.9655172],28,31.178516,29,568.3506469726562,38.53353,44.04771775475583
19,5,22,1.0818833016949811,True,False,True,[39  7],[0.625     0.0035461],8,4.873024,5,49.907798767089844,6.0225706,16.15297791097738
20,6,36,1.3250001920597876,True,True,True,[77  3],[0.8695652  0.00238095],64,38.16526,65,623.3024291992188,47.168446,45.0335167524246
21,6,38,0.7650146484375,True,True,True,[52 20],[0.6785714  0.03773585],27,33.001762,20,357.859375,40.78688,38.344829908825446
22,7,22,1.325013405899791,True,False,True,[25],[0.5],3,3.6290045,-1,-1.0,4.485087,-1.0
23,8,14,1.529998779296875,True,False,True,[33],[0.7096774],26,25.279713,27,632.9663696289062,31.243198,42.09865612299867
24,9,19,2.5372320428099213,False,True,True,[37  0],[0.8214286  0.00359712],27,17.709887,24,315.7996520996094,21.88765,38.49729182178564
25,10,13,0.7649993896484375,True,True,True,[44 52],[0.7419355  0.18644068],58,37.188095,50,596.4781494140625,45.96077,42.110783537112304
26,10,17,1.7106247576893532,True,True,True,[51],[0.9166667],24,29.77327,22,506.99005126953125,36.796783,37.01022690618071
27,10,37,1.081872512263171,True,True,True,[50  2],[0.76785713 0.00148148],51,45.00149,48,692.8311767578125,55.617344,49.91405399453655
28,11,32,2.537215940406524,False,False,True,[56  8],[0.48387095 0.00230415],29,23.541155,-1,-1.0,29.094515,-1.0
29,11,34,1.7105633423025222,True,True,True,[49 12],[0.8125     0.01033592],30,38.26752,28,576.5943603515625,47.29483,38.09403755846004
30,12,0,128.61785202968585,False,False,True,[35 36 34],[0.40243903 0.3015873  0.05714286],63,45.558563,-1,-1.0,56.305832,-1.0
31,12,31,1.7105974619921192,True,True,True,[31 28],[0.7254902  0.04117647],49,30.50327,39,382.5373229980469,37.69899,30.0737276152503
32,12,33,0.7650146484375,True,True,True,[45],[0.75609756],34,20.44706,38,445.17364501953125,25.270521,31.510887730406985
33,12,35,6.580794864441971,False,False,True,[37],[0.0794702],12,6.5292645,-1,-1.0,8.069518,-1.0
34,13,26,6.58078865613447,False,False,True,[28],[1.],20,12.249057,20,229.82826232910156,15.13861,43.007994108239664
35,13,28,0.764984130859375,True,True,True,[39  4],[0.94736844 0.01156069],38,31.538137,36,458.0369567871094,38.977985,42.78269194452197
36,14,15,145.56929040264205,False,False,True,[32 19],[0.902439   0.00219298],39,26.779549,39,529.0266723632812,33.096844,41.429877756741284
37,14,17,1.0818833016949811,True,True,True,[29 33 18],[0.7012987  0.04395605 0.00224972],73,53.35621,58,637.766845703125,65.94294,38.11807133140383
38,14,29,0.7650146484375,True,True,True,[37 16],[0.8152174  0.00662252],87,54.031727,80,849.5505981445312,66.77782,52.037668322832715
39,14,36,135.18006775551055,False,False,True,[36],[0.5],19,14.902011,-1,-1.0,18.417397,-1.0
40,15,0,3.154199192731306,False,False,True,[51  4],[0.7894737 0.0125   ],51,33.51146,51,597.5099487304688,41.416813,45.26491699716295
41,15,6,0.7650146484375,True,False,True,[54],[0.90384614],49,46.89734,50,729.0086059570312,57.960423,46.711328893898354
42,15,8,1.0818940912343977,True,True,True,[41 15],[0.73214287 0.00736196],52,35.180573,45,571.8768310546875,43.47967,40.26166004235489
43,15,19,0.7650146484375,True,True,True,[50  6],[0.75       0.00543478],28,21.29377,21,295.9494323730469,26.31697,19.991277420990535
44,15,21,1.0818940912343977,True,True,True,[42 14],[0.85714287 0.01449275],34,30.183979,31,441.7142333984375,37.304382,31.908994950283528
45,15,23,0.7650146484375,True,False,True,[39 19],[0.92105263 0.00478469],37,25.07178,36,450.3187561035156,30.986214,49.322763081888304
46,16,34,3.9007378382392535,False,True,True,[36],[0.8095238],17,23.864511,21,426.08538818359375,29.49415,35.932118226839215
47,16,36,1.8738581583034915,True,False,True,[26 22],[0.78571427 0.0173913 ],24,19.786541,26,331.0242614746094,24.454187,34.07909824331791
48,17,46,4.957748551885025,False,True,True,[56],[0.686747],62,36.150566,78,642.6129760742188,44.678486,50.50690438518805
49,17,48,22.118936555149805,False,False,True,[50],[0.8],14,7.500925,13,163.37632751464844,9.270393,9.783529606851495
50,17,50,1.325009001198595,True,True,True,[31],[0.02932961],21,18.403149,-1,-1.0,22.744452,-1.0
51,17,52,inf,False,True,True,[58],[0.9444444],17,18.143198,18,373.6029357910156,22.42318,24.621462706010057
52,18,38,4.715792752238916,False,True,True,[36 28],[0.3617021  0.00921659],20,17.852463,-1,-1.0,22.06386,-1.0
53,18,45,0.7649993896484375,True,False,True,[68 25],[0.92424244 0.00934579],65,42.51735,62,690.1046752929688,52.547195,44.217042449152146
54,18,47,0.7649993896484375,True,True,True,[57],[0.875],30,19.56499,30,376.1070251464844,24.18037,31.972439139269788
55,18,49,1.873851928856462,True,False,True,[35 31],[0.86585367 0.01960784],78,50.018433,75,729.4110107421875,61.817783,46.08950556342386
56,19,11,279.19671299623366,False,True,True,[54 42 16  0],[0.625      0.11111111 0.01089325 0.00692042],62,42.627045,42,530.26904296875,52.682766,38.57356169329164
57,19,15,180.40219253566974,False,True,True,[39],[0.2962963],10,10.399155,-1,-1.0,12.852316,-1.0
58,19,33,0.7650146484375,True,True,True,[31 27],[0.73134327 0.01449275],61,42.749477,55,535.9450073242188,52.83408,34.57495427473428
59,19,35,2.758274149314548,False,False,True,[50  6],[0.86440676 0.00888889],55,44.895123,55,618.8004150390625,55.485886,40.60363623051377
60,19,37,8.132088073421444,False,True,True,[30],[0.59375],20,23.013227,31,599.9718627929688,28.442049,51.463296542128965
61,20,21,0.7649993896484375,True,True,True,[41 18],[0.8923077  0.00581395],63,37.44258,60,654.833251953125,46.275288,39.50568915587206
62,20,23,449.2973256223294,False,True,True,[63],[0.84375],29,27.691082,30,474.7373046875,34.223408,39.79516522551484
63,20,27,6.1676355049803835,False,False,True,[39],[0.53846157],20,27.565826,20,554.1530151367188,34.068607,49.81421700577706
64,20,29,36.61625233110131,False,False,True,[40],[0.07692308],2,0.9642994,-1,-1.0,1.1917777,-1.0
65,22,35,1.3250266205305374,True,True,True,[37 16],[0.86206895 0.00423729],57,41.140347,51,748.471923828125,50.845356,48.6966498965473
66,22,37,3.2456139396466837,False,True,True,[51  8],[0.8        0.01801802],29,21.755535,25,388.7632141113281,26.887667,21.997838629303885
67,24,47,2.2950032552534227,False,True,True,[53],[0.7906977],35,21.24672,42,380.06146240234375,26.258821,35.03419302691904
68,24,49,0.7649993896484375,True,True,True,[52 12],[0.8181818  0.01515152],21,18.056751,19,286.23834228515625,22.31634,19.675942982380572
69,25,3,13.70608186558629,False,False,True,[25],[0.7692308],31,22.26722,38,697.6475219726562,27.520058,56.29437377891226
70,25,13,inf,False,False,True,[27 10],[0.87234044 0.01351351],45,37.762264,43,570.7369384765625,46.670383,40.317652388925424
71,25,15,2.295013427734375,False,True,True,[37  2],[9.1891891e-01 8.3194673e-04],36,30.704456,35,421.20355224609375,37.94764,32.49422536005243
72,25,17,1.081872512263171,True,False,True,[30],[0.8484849],59,41.773415,63,800.5996704101562,51.627766,50.123137299060204
73,26,19,478.14398699800057,False,True,True,[31 13],[8.0952382e-01 7.7041605e-04],20,11.255456,18,242.619140625,13.910619,27.468912706472942
74,26,32,0.76495361328125,True,True,True,[45  8],[0.8        0.00769231],37,22.335482,35,316.81488037109375,27.604424,21.63754195637797
75,29,0,16.567172590275494,False,False,True,[40 16],[0.85714287 0.04411765],34,35.047665,31,575.4902954101562,43.31541,49.89174191320131
76,29,5,0.7649993896484375,True,False,True,[35],[0.7894737],86,39.021,84,664.9334716796875,48.226055,42.198130626328734
77,29,17,0.7649993896484375,True,True,True,[46 11],[0.75757575 0.00879765],32,20.118366,26,286.7983703613281,24.86429,19.66053523136174
78,32,4,270.7148895385985,False,False,False,[],[],15,10.325502,-1,-1.0,12.761289,-1.0
79,32,21,54.38498278479632,False,True,True,[38],[0.78571427],12,7.9774127,13,195.03880310058594,9.859284,33.79266804705385
80,32,23,237.54699198498977,False,True,True,[30],[0.8947368],36,34.59628,36,542.0375366210938,42.75754,44.50827913317143
81,33,19,7.876168558685905,False,False,True,[36],[0.9259259],51,40.552925,53,748.80712890625,50.11936,91.99408554488714
82,33,21,1.0818940912343977,True,False,True,[32 25],[0.97959185 0.01428571],49,37.57032,48,633.4883422851562,46.43316,38.6406547885681
83,33,23,1.0818509328615227,True,True,True,[50 10],[0.47058824 0.02068966],34,45.21481,-1,-1.0,55.880985,-1.0
84,33,25,0.7650146484375,True,True,True,[33 24],[0.84210527 0.00408163],17,18.085087,18,398.94775390625,22.35136,25.322348001088326
85,33,27,1.7105974619921192,True,True,True,[35 22],[0.8717949  0.00384615],37,24.896782,36,465.40130615234375,30.769934,34.92773991804913
86,34,9,1.873833240763878,True,True,True,[39 16],[0.91803277 0.00273224],60,46.52095,57,824.1808471679688,57.495243,53.182477196708604
87,35,31,2.8623493049401767,False,False,True,[31],[0.375],4,4.2031674,-1,-1.0,5.194695,-1.0
88,35,33,1.5300025939941406,True,True,True,[46  7],[0.87096775 0.00372439],59,27.703707,57,537.2120361328125,34.239014,32.264577464251865
89,35,35,0.7650146484375,True,True,True,[39 13],[0.3        0.00519031],12,9.727168,-1,-1.0,12.021808,-1.0
90,36,30,0.764984130859375,True,True,True,[42 15],[0.8181818  0.00665557],44,38.679764,36,564.216552734375,47.80432,39.31359704371917
