,index,id,attach_dist,is_attached,is_contained,is_matched,match_ids,match_overlaps,pred_num_pix,pred_sum_pix,true_num_pix,true_sum_pix,ke,true_ke
0,0,11,0.7649993896484375,True,True,False,[],[],72,52.18139,-1,-1,64.49098,-1
1,0,24,0.764984130859375,True,False,False,[],[],2,1.2620842,-1,-1,1.5598099,-1
2,0,29,0.76495361328125,True,False,False,[],[],6,2.4497225,-1,-1,3.0276122,-1
3,0,35,0.764984130859375,True,True,False,[],[],1,0.51824087,-1,-1,0.6404939,-1
4,1,17,3.2456319223438945,False,False,False,[],[],61,31.113937,-1,-1,38.453716,-1
5,1,25,0.7650032043457031,True,False,False,[],[],32,7.707034,-1,-1,9.525124,-1
6,3,19,0.7649993896484375,True,True,False,[],[],25,26.402235,-1,-1,32.630524,-1
7,3,39,0.764984130859375,True,True,False,[],[],70,30.059088,-1,-1,37.15003,-1
8,3,41,0.76495361328125,True,True,False,[],[],6,3.6273685,-1,-1,4.4830647,-1
9,3,46,1.0818833016949811,True,False,False,[],[],9,9.856463,-1,-1,12.181603,-1
10,3,48,0.764984130859375,True,False,False,[],[],1,0.5509,-1,-1,0.6808573,-1
11,4,1,1.0818859990697474,True,True,False,[],[],32,21.111969,-1,-1,26.092283,-1
12,4,30,inf,False,True,False,[],[],66,48.42935,-1,-1,59.85384,-1
13,4,39,0.764984130859375,True,True,False,[],[],31,13.876695,-1,-1,17.150208,-1
14,6,44,0.764984130859375,True,True,False,[],[],2,0.5888851,-1,-1,0.7278032,-1
15,6,71,inf,False,True,False,[],[],17,15.307072,-1,-1,18.91801,-1
16,6,73,0.764984130859375,True,True,False,[],[],37,18.739895,-1,-1,23.160637,-1
17,6,75,0.764984130859375,True,False,False,[],[],20,18.12292,-1,-1,22.398117,-1
18,6,77,2.1637450240959204,False,True,False,[],[],17,11.673122,-1,-1,14.426812,-1
19,7,22,0.7650146484375,True,False,False,[],[],41,23.80568,-1,-1,29.42144,-1
20,7,33,inf,False,True,False,[],[],31,17.09245,-1,-1,21.12456,-1
21,7,49,0.7649993896484375,True,True,False,[],[],66,28.775696,-1,-1,35.563885,-1
22,7,51,0.76495361328125,True,False,False,[],[],70,32.270645,-1,-1,39.883293,-1
23,8,17,4.957767387948917,False,False,False,[],[],16,8.604557,-1,-1,10.634373,-1
24,9,55,1.081872512263171,True,True,False,[],[],27,14.576508,-1,-1,18.015106,-1
25,10,10,0.764984130859375,True,False,False,[],[],122,66.96899,-1,-1,82.766975,-1
26,10,19,0.7649993896484375,True,True,False,[],[],42,21.063818,-1,-1,26.032774,-1
27,10,69,0.7650146484375,True,False,False,[],[],23,12.469124,-1,-1,15.410591,-1
28,10,88,0.7650146484375,True,True,False,[],[],34,19.741917,-1,-1,24.399036,-1
29,10,91,0.7650146484375,True,True,False,[],[],13,16.06715,-1,-1,19.857391,-1
30,10,92,3.2456283257550336,False,True,False,[],[],2,2.9851494,-1,-1,3.6893463,-1
31,10,95,1.0818509328615227,True,True,False,[],[],15,14.936762,-1,-1,18.460344,-1
32,11,17,1.081872512263171,True,True,False,[],[],31,21.872494,-1,-1,27.032215,-1
33,11,21,0.7650146484375,True,True,False,[],[],33,22.357409,-1,-1,27.631523,-1
34,11,23,inf,False,False,False,[],[],26,12.550613,-1,-1,15.511304,-1
35,11,25,0.764984130859375,True,True,False,[],[],25,15.062775,-1,-1,18.616083,-1
36,11,29,0.764984130859375,True,False,False,[],[],54,28.765713,-1,-1,35.551544,-1
37,12,47,13.81244387759538,False,False,False,[],[],11,10.041743,-1,-1,12.410591,-1
38,13,32,0.764984130859375,True,True,False,[],[],71,46.023254,-1,-1,56.880142,-1
39,13,54,inf,False,True,False,[],[],5,4.9049745,-1,-1,6.062058,-1
40,14,12,0.764984130859375,True,True,False,[],[],7,4.870454,-1,-1,6.019394,-1
41,14,43,0.764984130859375,True,True,False,[],[],3,1.7344915,-1,-1,2.1436582,-1
42,15,21,1.529998779296875,True,True,False,[],[],33,20.29001,-1,-1,25.076426,-1
43,16,35,0.7650146484375,True,True,False,[],[],35,26.255356,-1,-1,32.448994,-1
44,16,37,1.0818509328615227,True,False,False,[],[],2,1.3601933,-1,-1,1.6810629,-1
45,17,1,0.7650146484375,True,False,False,[],[],16,8.99522,-1,-1,11.117193,-1
46,17,49,0.764984130859375,True,False,False,[],[],18,12.486973,-1,-1,15.432651,-1
47,17,64,1.081872512263171,True,False,False,[],[],17,21.50657,-1,-1,26.579971,-1
48,18,8,0.76495361328125,True,True,False,[],[],85,54.76596,-1,-1,67.68526,-1
